iter	Logloss
0	0.6778086543
1	0.6639978661
2	0.6513934148
3	0.6406842965
4	0.6307146581
5	0.6215108922
6	0.6135030298
7	0.6064043163
8	0.5998221178
9	0.5941408702
10	0.5886067262
11	0.5834906267
12	0.5793647724
13	0.5750540076
14	0.5717238181
15	0.5688212606
16	0.5658922497
17	0.5635103465
18	0.560762104
19	0.5586531171
20	0.5563769873
21	0.554142639
22	0.5524322248
23	0.5504468512
24	0.5487808633
25	0.5472309457
26	0.5458935067
27	0.544271653
28	0.5428683937
29	0.5415734738
30	0.5406412976
31	0.5396444727
32	0.5386055963
33	0.537640914
34	0.5365986275
35	0.5358876211
36	0.5350865779
37	0.534342591
38	0.5336340611
39	0.5326766806
40	0.5320133609
41	0.5311665138
42	0.5305968185
43	0.5299752162
44	0.5293015127
45	0.5288740998
46	0.5282752112
47	0.5277761211
48	0.5273334891
49	0.5269222434
50	0.5265021287
51	0.5259961362
52	0.5252792006
53	0.5246239757
54	0.5242224727
55	0.5238750792
56	0.523363772
57	0.5230414106
58	0.5223746061
59	0.5219983483
60	0.5215454919
61	0.5212656408
62	0.5208227773
63	0.5204896151
64	0.5202365992
65	0.5198031568
66	0.5192799405
67	0.5187775516
68	0.5185302211
69	0.5182671466
70	0.5178872528
71	0.5176182101
72	0.5170775018
73	0.516553025
74	0.5162827287
75	0.516055812
76	0.5157715565
77	0.5153327895
78	0.5151687846
79	0.5147616168
80	0.5144562234
81	0.5142535948
82	0.5139409137
83	0.5135457218
84	0.5132752175
85	0.5129516125
86	0.5127768658
87	0.512261468
88	0.5118974502
89	0.5116390401
90	0.5112354857
91	0.5110498981
92	0.5106918926
93	0.5104845729
94	0.5103752452
95	0.5100370761
96	0.5098255584
97	0.5095760116
98	0.5091162093
99	0.5088546029
100	0.5085148221
101	0.5083101626
102	0.5077292219
103	0.5074859932
104	0.5069090321
105	0.5066895018
106	0.5063457916
107	0.5061170847
108	0.5056265363
109	0.5052357828
110	0.5049015957
111	0.5046808243
112	0.5044950836
113	0.5044093807
114	0.5040979633
115	0.5039567283
116	0.5038216466
117	0.5035231514
118	0.5032685764
119	0.5031370546
120	0.5029002155
121	0.5027242604
122	0.5025381951
123	0.5022276898
124	0.5020753842
125	0.501563188
126	0.5013837364
127	0.5009799315
128	0.5006678684
129	0.5004375594
130	0.5002593522
131	0.5000429736
132	0.4998165728
133	0.4996241615
134	0.4994671338
135	0.4991905756
136	0.498995304
137	0.4987249629
138	0.498574502
139	0.498393982
140	0.4981342177
141	0.4979034363
142	0.4977420752
143	0.497463927
144	0.4972386952
145	0.4968773731
146	0.4966680641
147	0.4965586829
148	0.4963199802
149	0.4961871196
150	0.495864196
151	0.4955732285
152	0.4951481977
153	0.4949717869
154	0.49460961
155	0.4944337878
156	0.4943551096
157	0.4940636711
158	0.4938181959
159	0.4936444698
160	0.4934351599
161	0.4932294732
162	0.4928462579
163	0.4926230051
164	0.4923065901
165	0.4921313256
166	0.4916309641
167	0.4913784812
168	0.4911911931
169	0.4908951785
170	0.4906929331
171	0.4905469415
172	0.4903067206
173	0.4900142493
174	0.4897916851
175	0.4897124736
176	0.4895430728
177	0.4893503131
178	0.4889953198
179	0.4888247516
180	0.4886626932
181	0.4885324032
182	0.4884035213
183	0.4883074904
184	0.4878677299
185	0.4875133171
186	0.4873476523
187	0.4869270597
188	0.4866519301
189	0.4864449076
190	0.4862912371
191	0.4859658913
192	0.4857957319
193	0.4855750919
194	0.4853531365
195	0.4851494564
196	0.4849086824
197	0.484650453
198	0.48454841
199	0.4844174747
200	0.4842394212
201	0.4840468862
202	0.4837652992
203	0.4836047161
204	0.4833824873
205	0.4832626008
206	0.4830544976
207	0.4828629518
208	0.4826721916
209	0.4824165334
210	0.4822914905
211	0.4821421014
212	0.481873438
213	0.4816967404
214	0.4813767083
215	0.4811603525
216	0.4809174966
217	0.4807082639
218	0.4805457955
219	0.4803545748
220	0.4802506392
221	0.4799820021
222	0.4797732009
223	0.4795287344
224	0.4791666255
225	0.4790436646
226	0.4787965278
227	0.478495585
228	0.4784236126
229	0.4782116336
230	0.4780576047
231	0.4777905247
232	0.4776602519
233	0.4774658898
234	0.4773065182
235	0.4770222749
236	0.4768563824
237	0.4767296451
238	0.4766323617
239	0.4764466431
240	0.4760069955
241	0.4759018169
242	0.4757320611
243	0.4754386049
244	0.4751338893
245	0.4749369069
246	0.474700486
247	0.474484353
248	0.47435493
249	0.4741775406
250	0.474028504
251	0.4738336035
252	0.4737493181
253	0.4734827557
254	0.4732223355
255	0.4730031619
256	0.4728863731
257	0.4727278865
258	0.4725479429
259	0.4723303049
260	0.4721244146
261	0.4719953197
262	0.4718112654
263	0.4716984761
264	0.4715375173
265	0.4713055363
266	0.4712523815
267	0.471194979
268	0.4710990851
269	0.4709650461
270	0.4708034848
271	0.4707324129
272	0.4705924323
273	0.4705433018
274	0.4704131955
275	0.4702534994
276	0.4701078506
277	0.4700212768
278	0.4698977211
279	0.4696911195
280	0.4694753505
281	0.4692277503
282	0.4690712391
283	0.468850074
284	0.4685907314
285	0.4684781329
286	0.4683426499
287	0.4681678576
288	0.4679914638
289	0.4678357071
290	0.4676592194
291	0.4674268293
292	0.4673355758
293	0.4671390364
294	0.4670726841
295	0.4668224762
296	0.4666282913
297	0.4663096065
298	0.4661940632
299	0.4660913559
300	0.4658789528
301	0.4657656956
302	0.4656168553
303	0.4654900389
304	0.4652536817
305	0.4650838329
306	0.465004866
307	0.464859597
308	0.4647779261
309	0.4645742253
310	0.4644588242
311	0.4643201912
312	0.4639547666
313	0.4637633203
314	0.4636424746
315	0.4635630662
316	0.4634355453
317	0.4631301623
318	0.4630407725
319	0.4629175551
320	0.4627843797
321	0.4627023775
322	0.4625039723
323	0.4623304273
324	0.4621690285
325	0.4619815981
326	0.4618393974
327	0.4616529333
328	0.4615860952
329	0.4614141307
330	0.4612862429
331	0.461170114
332	0.4609577581
333	0.4608027263
334	0.4606875556
335	0.4605893307
336	0.4603362468
337	0.4601458308
338	0.4600386127
339	0.4599168841
340	0.4598656259
341	0.4597734347
342	0.4596047869
343	0.4594665065
344	0.4593077875
345	0.4591816462
346	0.4591615721
347	0.4590578188
348	0.4588918387
349	0.4587022359
350	0.4585365054
351	0.458403186
352	0.4581757311
353	0.4579935303
354	0.4578422224
355	0.4577078281
356	0.4575221905
357	0.4574609304
358	0.4573548275
359	0.4572537744
360	0.4571070715
361	0.4569628941
362	0.456818291
363	0.456643482
364	0.4564485485
365	0.4562585344
366	0.4560498177
367	0.4559540912
368	0.4558562443
369	0.4556972535
370	0.4555734023
371	0.4555312846
372	0.4553165223
373	0.4552645473
374	0.4551993314
375	0.4551145163
376	0.4550415601
377	0.4549866909
378	0.4549002615
379	0.454768476
380	0.4546145123
381	0.4543931274
382	0.4543003194
383	0.4541740913
384	0.4540978643
385	0.453901758
386	0.4537049168
387	0.4536175383
388	0.453428805
389	0.453306446
390	0.4530814051
391	0.4529841154
392	0.4527635673
393	0.4527217115
394	0.4526113528
395	0.452446036
396	0.4523249547
397	0.4522240961
398	0.4521952066
399	0.4520331457
400	0.4518775664
401	0.4517305034
402	0.4516249569
403	0.4515185376
404	0.4513918273
405	0.4512326212
406	0.4511207857
407	0.4510047403
408	0.4509100342
409	0.4507455278
410	0.4506423338
411	0.4503420368
412	0.4502497145
413	0.4502147464
414	0.4501265794
415	0.449925626
416	0.4498218054
417	0.4496630121
418	0.4494586988
419	0.4492913147
420	0.4491846693
421	0.4491167163
422	0.4489139991
423	0.4487156147
424	0.448552585
425	0.4484243652
426	0.4482415566
427	0.4478732547
428	0.44765053
429	0.4474754666
430	0.4472942393
431	0.4471788632
432	0.4470674444
433	0.4468039654
434	0.4466086457
435	0.4465358394
436	0.4463514354
437	0.4461272618
438	0.4459369444
439	0.4458499669
440	0.4456998761
441	0.4455259705
442	0.4454455068
443	0.4453241342
444	0.4451693138
445	0.4450054745
446	0.4448442496
447	0.4447268472
448	0.4446591925
449	0.4444797445
450	0.444304413
451	0.4442215857
452	0.4440899377
453	0.4439732505
454	0.4437351747
455	0.4436692466
456	0.4435346117
457	0.4434434962
458	0.443292246
459	0.4432091923
460	0.4430670034
461	0.442801264
462	0.4426515029
463	0.442508923
464	0.4423888688
465	0.4422629962
466	0.4421713342
467	0.4420574942
468	0.4419545615
469	0.4418562751
470	0.4417493606
471	0.4416382852
472	0.4414844242
473	0.4414107447
474	0.441277507
475	0.441147498
476	0.4410724962
477	0.4409245714
478	0.4408524718
479	0.4407548512
480	0.4405234941
481	0.4403654202
482	0.4403032669
483	0.4402030533
484	0.4401172348
485	0.4399631965
486	0.4398519318
487	0.4397423798
488	0.4395833356
489	0.4394522769
490	0.4393322802
491	0.4390751048
492	0.438965922
493	0.4389038471
494	0.4388184416
495	0.4387496411
496	0.4386477179
497	0.4385327329
498	0.4383504364
499	0.4381433028
500	0.4380872129
501	0.4380143147
502	0.4378816285
503	0.4377532896
504	0.4377277355
505	0.4375831495
506	0.4374522862
507	0.4373503728
508	0.437257021
509	0.4371542525
510	0.4370263297
511	0.4368888056
512	0.4364653178
513	0.4363457327
514	0.4362280334
515	0.4360924161
516	0.435958145
517	0.4358763189
518	0.4358143442
519	0.4356844253
520	0.4355672073
521	0.4353798406
522	0.4352010789
523	0.4351086489
524	0.4349199877
525	0.4348611006
526	0.4347660365
527	0.434631126
528	0.4344525547
529	0.4342134636
530	0.4341013426
531	0.433985999
532	0.4338714012
533	0.4337763145
534	0.433635461
535	0.4335071175
536	0.4333900157
537	0.4332924323
538	0.433185803
539	0.4330500847
540	0.4329072437
541	0.4328077013
542	0.4327064229
543	0.432531358
544	0.4324058028
545	0.4322968409
546	0.4321552173
547	0.4320602223
548	0.4319195502
549	0.4318615838
550	0.4317494759
551	0.431677471
552	0.4315393315
553	0.4314023871
554	0.4312943514
555	0.4311041116
556	0.431069668
557	0.4309589866
558	0.430844913
559	0.4307744538
560	0.4306509368
561	0.4305323442
562	0.4304481134
563	0.4303556442
564	0.4302258714
565	0.4301045764
566	0.4300394751
567	0.4299424028
568	0.4297616124
569	0.4295555187
570	0.4295057397
571	0.4294458805
572	0.4292645493
573	0.4291385698
574	0.429084957
575	0.4290066983
576	0.4289091252
577	0.4288723001
578	0.4287776475
579	0.4286950481
580	0.4285683186
581	0.4283991041
582	0.4283340491
583	0.4282859955
584	0.4281116174
585	0.4279328794
586	0.4278586034
587	0.4277768319
588	0.427707067
589	0.4275374199
590	0.4274337816
591	0.4273410496
592	0.4272426859
593	0.4271455129
594	0.4270646499
595	0.4269551846
596	0.4268694938
597	0.4267766767
598	0.4266919464
599	0.426550273
600	0.4264366013
601	0.4263072998
602	0.4262154279
603	0.4261003407
604	0.425990713
605	0.425760661
606	0.4256668452
607	0.4255170755
608	0.4254466204
609	0.4253477928
610	0.4252706926
611	0.4251965038
612	0.4251106712
613	0.4249552719
614	0.4248085
615	0.4247365472
616	0.4246678087
617	0.4245863962
618	0.4245225833
619	0.4244865956
620	0.4244034195
621	0.4242216393
622	0.4239483816
623	0.4238462652
624	0.4237560658
625	0.4235865359
626	0.4234568892
627	0.4233946254
628	0.4233108352
629	0.4232666641
630	0.4231563221
631	0.4231009065
632	0.4229905658
633	0.4227651947
634	0.4225041358
635	0.4224362362
636	0.4222865206
637	0.4220886214
638	0.4219669075
639	0.4219238002
640	0.4218588998
