iter	Passed	Remaining
0	35	35746
1	70	35394
2	106	35491
3	139	34851
4	174	34694
5	207	34415
6	238	33787
7	270	33553
8	305	33605
9	338	33469
10	370	33297
11	403	33182
12	436	33165
13	470	33129
14	504	33152
15	538	33123
16	573	33152
17	607	33138
18	652	33700
19	735	36029
20	776	36217
21	852	37877
22	920	39113
23	963	39192
24	1007	39297
25	1050	39363
26	1091	39346
27	1132	39299
28	1172	39250
29	1212	39214
30	1254	39205
31	1293	39121
32	1329	38944
33	1369	38911
34	1404	38737
35	1441	38587
36	1479	38513
37	1516	38387
38	1551	38238
39	1601	38435
40	1636	38271
41	1678	38282
42	1711	38099
43	1744	37892
44	1774	37655
45	1804	37428
46	1839	37301
47	1878	37260
48	1915	37168
49	1952	37103
50	1991	37056
51	2060	37573
52	2098	37495
53	2142	37529
54	2179	37454
55	2214	37335
56	2251	37243
57	2286	37140
58	2323	37057
59	2359	36969
60	2394	36859
61	2429	36750
62	2464	36654
63	2496	36508
64	2528	36376
65	2561	36248
66	2594	36123
67	2631	36068
68	2666	35975
69	2700	35878
70	2738	35831
71	2776	35782
72	2812	35711
73	2847	35627
74	2878	35503
75	2912	35403
76	2948	35338
77	2981	35241
78	3015	35156
79	3050	35075
80	3083	34979
81	3114	34870
82	3149	34793
83	3181	34693
84	3211	34572
85	3244	34480
86	3275	34373
87	3311	34320
88	3348	34276
89	3384	34220
90	3421	34176
91	3454	34091
92	3486	34007
93	3520	33930
94	3554	33865
95	3587	33784
96	3620	33707
97	3652	33617
98	3686	33554
99	3720	33481
100	3752	33400
101	3786	33336
102	3820	33275
103	3853	33201
104	3886	33125
105	3918	33046
106	3949	32963
107	3981	32881
108	4013	32809
109	4046	32742
110	4078	32664
111	4112	32609
112	4144	32529
113	4174	32440
114	4205	32361
115	4239	32307
116	4271	32238
117	4304	32176
118	4338	32122
119	4369	32046
120	4406	32012
121	4443	31975
122	4478	31929
123	4512	31879
124	4551	31860
125	4585	31810
126	4620	31760
127	4655	31714
128	4691	31677
129	4723	31614
130	4761	31586
131	4795	31537
132	4827	31470
133	4858	31396
134	4890	31334
135	4921	31265
136	4954	31211
137	4990	31174
138	5024	31120
139	5057	31067
140	5090	31009
141	5121	30944
142	5153	30887
143	5186	30830
144	5222	30795
145	5260	30768
146	5293	30715
147	5327	30666
148	5364	30641
149	5399	30597
150	5433	30550
151	5467	30503
152	5499	30444
